epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4920.4,2.13041,1.4512,0.00264,0.424,0.32257,0.31984,0.1779,2.04135,1.46063,0.00353,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5069.65,2.12892,1.45074,0.00263,0.42683,0.31962,0.31803,0.17716,2.0292,1.45488,0.00351,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5219.6,2.12026,1.44077,0.00262,0.42216,0.32882,0.32187,0.17973,2.02729,1.44092,0.00349,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5371.17,2.10978,1.427,0.00261,0.41769,0.32855,0.32128,0.17874,2.03764,1.45649,0.00352,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5520.68,2.10595,1.42857,0.00261,0.43041,0.326,0.31832,0.1769,2.0378,1.45218,0.00352,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,5670.98,2.10105,1.42422,0.0026,0.43633,0.32954,0.33002,0.18378,2.0153,1.4316,0.00348,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,5820.34,2.09406,1.41479,0.00259,0.42311,0.33373,0.32545,0.18252,2.01352,1.4317,0.00347,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,5970.59,2.09008,1.41415,0.00259,0.43045,0.33034,0.32998,0.18488,2.01985,1.43237,0.00346,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6122.12,2.07913,1.40133,0.00257,0.4216,0.33454,0.32527,0.18283,2.01495,1.43419,0.00346,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,6259.21,2.01493,1.38064,0.00268,0.42869,0.33053,0.32429,0.18276,2.01482,1.43501,0.00347,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6394.42,1.9993,1.34961,0.00263,0.4296,0.32949,0.32764,0.18502,2.01372,1.42645,0.00348,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,6529.82,1.99256,1.34417,0.00263,0.43179,0.33159,0.32866,0.18418,2.00957,1.43268,0.00345,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,6665.39,1.9875,1.33662,0.00262,0.43202,0.33362,0.32919,0.18579,2.00906,1.42985,0.00345,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,6800.66,1.9825,1.33285,0.00262,0.43924,0.32794,0.32837,0.18522,2.00701,1.42458,0.00345,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,6935.85,1.97537,1.32048,0.00258,0.44014,0.33177,0.33205,0.18776,2.00496,1.41698,0.00345,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,7070.64,1.96879,1.32121,0.00258,0.43302,0.33516,0.33283,0.18719,2.00212,1.41714,0.00343,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,7206.67,1.96422,1.31716,0.00257,0.43886,0.33649,0.33424,0.18893,1.9954,1.41834,0.00342,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,7342.6,1.9657,1.31372,0.00257,0.44549,0.33232,0.3349,0.18868,1.99894,1.4146,0.00342,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,7479.33,1.95932,1.30566,0.00255,0.44374,0.33357,0.33432,0.18889,2.00074,1.41555,0.00342,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
